,Column Labels,,,,,,,
26,34025,2,,,,,34025,2
27,,,63720,1,,,63720,1
28,53600,1,,,74200,1,63900,2
29,,,67533.33333,3,,,67533.33333,3
30,,,63850,2,71025,4,68633.33333,6
31,64300,1,54050,4,57813.33333,3,56742.5,8
32,56360,2,,,,,56360,2
33,44880,1,62800,2,,,56826.66667,3
34,63945,2,80616.66667,3,67300,1,72840,6
36,58500,1,,,,,58500,1
37,,,56185,2,56160,1,56176.66667,3
38,77880,1,,,,,77880,1
39,,,66396.66667,3,66005,2,66240,5
40,60280,2,51810,1,,,57456.66667,3
41,72626.66667,3,,,,,72626.66667,3
42,64040,2,,,,,64040,2
43,68670,2,,,56115,2,62392.5,4
44,,,,,70200,1,70200,1
45,,,61050,1,,,61050,1
46,,,104610,1,,,104610,1
47,,,40260,1,65715,2,57230,3
48,59400,1,,,60940,1,60170,2
50,,,84500,1,,,84500,1
51,,,,,75400,1,75400,1
53,80960,1,,,,,80960,1
54,32280,1,,,62300,1,47290,2
55,,,60600,1,,,60600,1
56,92730,1,56430,1,,,74580,2
57,62940,2,,,,,62940,2
58,63120,1,,,,,63120,1
60,82036.66667,3,,,,,82036.66667,3
61,,,78100,1,,,78100,1
64,,,70900,1,,,70900,1
Minor Damage,53840.45455,44,45327.94118,34,38960.88235,34,46739.28571,112
19,,,48950,1,,,48950,1
20,,,,,48360,1,48360,1
24,7480,1,,,63300,1,35390,2
25,32320,1,,,,,32320,1
26,52200,1,,,,,52200,1
27,77700,1,79560,1,67200,1,74820,3
28,70920,1,,,,,70920,1
29,69360,1,73260,1,69840,2,70575,4
30,54300,1,87100,1,33727.5,4,46051.66667,6
31,33562.5,4,46995,2,,,38040,6
32,,,,,3180,2,3180,2
33,70410,2,,,57700,1,66173.33333,3
34,32640,4,43420,2,17690,3,30052.22222,9
35,79090,1,6600,1,88220,1,57970,3
36,,,79500,1,6780,2,31020,3
37,57120,1,30050,2,21365,2,31990,5
38,53680,1,41220,2,79500,1,53905,4
39,41473.33333,3,27467.5,4,37496.66667,3,34678,10
40,60580,2,,,61490,1,60883.33333,3
41,66170,2,,,,,66170,2
42,61196.66667,3,5070,1,48000,1,47332,5
43,27273.33333,3,27660,2,65610,2,38337.14286,7
44,,,,,5590,1,5590,1
45,,,71610,2,,,71610,2
46,70074,5,4560,1,,,59155,6
47,65780,1,61150,3,,,62307.5,4
48,60600,1,,,,,60600,1
49,73370,1,,,5560,2,28163.33333,3
50,,,,,70290,1,70290,1
51,82830,1,67600,1,,,75215,2
54,76560,1,,,,,76560,1
55,,,6400,1,9000,1,7700,2
56,,,53100,1,,,53100,1
57,,,78500,1,,,78500,1
59,,,6500,1,,,6500,1
60,,,82060,1,,,82060,1
61,56340,1,,,80880,1,68610,2
62,,,47160,1,,,47160,1
Total Loss,66078.70968,31,63200,32,60342.91667,24,63437.58621,87
21,94930,1,46890,2,62460,1,62792.5,4
24,,,,,61600,1,61600,1
26,,,,,65430,1,65430,1
27,52200,2,90970,1,,,65123.33333,3
28,48290,1,67800,1,,,58045,2
30,67900,2,,,,,67900,2
31,63910,1,72120,1,67605,2,67810,4
32,49415,2,74080,2,83160,1,66030,5
33,79235,2,44200,1,,,67556.66667,3
34,52250,1,80520,2,,,71096.66667,3
35,,,,,50380,1,50380,1
36,67205,2,59413.33333,3,57900,1,61758.33333,6
37,,,61980,4,51586.66667,3,57525.71429,7
38,68440,3,81110,2,30700,1,66373.33333,6
39,,,36300,1,,,36300,1
40,69130,3,,,85150,1,73135,4
41,56610,1,44200,1,73500,1,58103.33333,3
42,52700,1,72593.33333,3,,,67620,4
43,78295,4,,,63240,1,75284,5
44,,,74140,1,,,74140,1
45,,,,,44260,2,44260,2
46,47700,1,,,89520,1,68610,2
47,,,55500,3,,,55500,3
48,,,58275,2,76050,1,64200,3
49,,,,,42900,1,42900,1
52,,,51090,1,54810,1,52950,2
55,98160,1,,,,,98160,1
57,62800,1,,,61440,1,62120,2
58,41490,1,,,55750,2,50996.66667,3
59,71800,1,,,,,71800,1
61,,,49390,1,,,49390,1
Trivial Damage,4338.571429,7,6208.181818,11,5192.5,8,5392.307692,26
24,,,,,3960,1,3960,1
25,,,5640,1,,,5640,1
27,,,4400,1,,,4400,1
29,,,5900,1,,,5900,1
30,4545,2,,,4620,1,4570,3
31,,,,,4320,2,4320,2
32,100,1,,,,,100,1
33,4730,1,,,,,4730,1
34,,,,,7290,1,7290,1
35,,,5973.333333,3,4950,1,5717.5,4
36,,,5300,1,,,5300,1
37,,,,,7080,1,7080,1
39,7700,1,5920,1,,,6810,2
40,6050,1,,,,,6050,1
43,,,7150,1,,,7150,1
44,,,,,5000,1,5000,1
45,,,7260,1,,,7260,1
47,2700,1,,,,,2700,1
53,,,8800,1,,,8800,1
OH,54745.51724,116,49365.87786,131,53819.42857,105,52467.1875,352
Major Damage,62440.64516,31,62945.58824,34,62689.41176,34,62699.49495,99
23,,,52400,1,56815,2,55343.33333,3
24,,,56600,1,,,56600,1
25,48000,1,,,,,48000,1
26,53820,1,,,52110,1,52965,2
27,51000,1,80850,1,40810,1,57553.33333,3
28,,,65890,2,44640,1,58806.66667,3
29,54360,1,,,69100,2,64186.66667,3
30,68530,1,47790,1,95530,2,76845,4
31,52380,1,,,34160,1,43270,2
32,60460,4,,,,,60460,4
33,53100,1,35300,1,67883.33333,3,58410,5
34,36720,1,73185,2,60626.66667,3,60828.33333,6
35,71500,1,,,,,71500,1
36,,,79560,1,55526.66667,3,61535,4
37,41490,1,60233.33333,3,,,55547.5,4
38,,,65180,3,72200,1,66935,4
39,,,64100,1,55000,1,59550,2
40,,,,,53460,1,53460,1
41,66910,4,87480,2,72620,3,73384.44444,9
42,75166.66667,3,,,68520,1,73505,4
43,64120,2,57050,4,57690,1,59161.42857,7
44,,,58390,2,,,58390,2
45,52650,1,,,,,52650,1
46,54900,1,,,,,54900,1
47,,,64100,1,62800,1,63450,2
48,55170,1,65555,2,,,62093.33333,3
49,,,69480,1,,,69480,1
50,53140,2,,,50900,2,52020,4
54,,,67770,1,68750,1,68260,2
55,,,36740,1,60600,1,48670,2
57,58300,1,,,66240,1,62270,2
58,99320,1,59900,1,,,79610,2
61,114920,1,53640,1,79800,1,82786.66667,3
62,,,66480,1,,,66480,1
Minor Damage,53603.84615,39,45306.73077,52,41842.57143,35,46912.61905,126
21,,,62900,1,,,62900,1
24,,,6120,1,,,6120,1
25,51030,1,,,,,51030,1
26,73480,3,,,,,73480,3
27,53145,2,,,,,53145,2
28,5490,1,65040,1,79950,2,57607.5,4
29,47475,4,55940,4,46950,2,50756,10
30,18640,2,4680,1,49140,1,22775,4
31,,,28607.5,4,7095,2,21436.66667,6
32,56070,1,41860,2,33286.66667,3,39941.66667,6
33,46606.66667,3,26823.33333,3,2250,1,31791.42857,7
34,7280,1,67500,1,4700,1,26493.33333,3
35,,,48360,1,3300,1,25830,2
36,,,70060,2,,,70060,2
37,57600,1,,,,,57600,1
38,47300,1,,,87200,1,67250,2
39,,,44703.33333,6,21576.66667,3,36994.44444,9
40,69840,1,34483.33333,3,,,43322.5,4
41,60390,1,60763.33333,3,28380,2,49906.66667,6
42,70400,1,74700,1,55200,1,66766.66667,3
43,47926.66667,3,22210,2,62022.5,4,48476.66667,9
44,61740,1,64257.5,4,54240,1,62168.33333,6
45,,,,,69800,3,69800,3
46,66292,5,2160,1,19565,2,46593.75,8
47,5590,1,,,46900,2,33130,3
48,,,,,3520,1,3520,1
49,,,52400,2,,,52400,2
50,71175,2,,,,,71175,2
51,,,7080,1,,,7080,1
53,86400,1,81870,2,,,83380,3
55,,,85300,1,,,85300,1
56,50000,1,39480,1,,,44740,2
57,78000,1,5390,1,40700,1,41363.33333,3
59,,,81800,1,,,81800,1
60,,,5060,1,84480,1,44770,2
61,72100,1,,,,,72100,1
64,,,33930,1,,,33930,1
Total Loss,58687.17949,39,61212.58065,31,69480.68966,29,62639.69697,99
23,,,,,56520,1,56520,1
24,,,74700,1,,,74700,1
25,,,77130,1,67800,1,72465,2
26,45500,1,81620,2,,,69580,3
27,,,,,66595,2,66595,2
28,47585,2,60660,4,101860,1,62810,7
29,,,71175,2,59070,1,67140,3
30,56466.66667,3,51120,1,,,55130,4
31,,,68315,2,,,68315,2
32,62855,4,,,61270,1,62538,5
33,35700,2,69400,1,,,46933.33333,3
34,64020,2,,,55260,1,61100,3
35,51620,2,74140,1,88660,1,66510,4
36,57255,2,49665,2,55900,1,53948,5
37,45000,1,54530,2,69486,5,62686.25,8
38,,,60040,4,75650,2,65243.33333,6
39,52750,2,29300,1,,,44933.33333,3
40,54240,2,46200,1,,,51560,3
41,69945,2,,,44110,1,61333.33333,3
42,74800,2,59130,1,,,69576.66667,3
43,60175,2,42700,1,,,54350,3
44,72825,2,61100,1,61700,1,67112.5,4
45,,,,,54340,1,54340,1
46,77100,1,,,90600,1,83850,2
47,55500,1,,,56320,1,55910,2
48,51840,1,35750,1,86060,1,57883.33333,3
49,,,,,71440,1,71440,1
50,81960,1,,,44190,1,63075,2
51,,,,,103560,1,103560,1
53,,,77990,1,,,77990,1
54,63240,1,,,93480,1,78360,2
55,53925,2,,,,,53925,2
56,58160,1,,,,,58160,1
58,,,65520,1,,,65520,1
59,,,,,68000,1,68000,1
60,,,,,62880,1,62880,1
Trivial Damage,5067.142857,7,5231.428571,14,5738.571429,7,5317.142857,28
27,,,3190,1,6050,1,4620,2
28,,,5200,2,3200,1,4533.333333,3
29,,,5335,2,,,5335,2
32,3900,1,,,5060,1,4480,2
34,5830,1,,,,,5830,1
35,2860,1,,,,,2860,1
38,3600,1,4320,1,,,3960,2
39,,,5830,1,,,5830,1
40,6940,2,,,6450,2,6695,4
41,,,10790,1,,,10790,1
43,,,5200,1,,,5200,1
44,5400,1,,,6400,1,5900,2
45,,,2945,2,,,2945,2
46,,,4950,1,,,4950,1
48,,,5400,1,6560,1,5980,2
55,,,6600,1,,,6600,1
Grand Total,55265.70201,349,51153.73219,351,51730.83333,300,52761.94,1000
